,Symbol
1868,CPTK
1869,CPTN
1870,CPTNW
1871,CPUH
1872,CPZ
1873,CQP
1874,CR
1875,CRAI
1876,CRBP
1877,CRBU
1878,CRC
1879,CRCT
1880,CRD/A
1881,CRD/B
1882,CRDF
1883,CRDL
1884,CRDO
1885,CREC
1886,CREG
1887,CRESW
1888,CRESY
1889,CREX
1890,CREXW
1891,CRF
1892,CRGE
1893,CRGY
1894,CRH
1895,CRHC
1896,CRI
1897,CRIS
1898,CRK
1899,CRKN
1900,CRL
1901,CRM
1902,CRMD
1903,CRMT
1904,CRNC
1905,CRNT
1906,CRNX
1907,CRON
1908,CROX
1909,CRS
1910,CRSP
1911,CRSR
1912,CRT
1913,CRTD
1914,CRTDW
1915,CRTO
